entidad|id_entidad|id_registro|tipo_registro|tipo_acceso|id_search|word_key|id_link|link|tramite|ministerio|time_update
Ministerio de Transportes y Comunicaciones (MTC)|144|140|S|B|0|tra%20mtc|2|https://www.tramites.gob.pe/buscador/psce_reg_accion.aspx?id_entidad=144&id_registro=140&tipo_registro=S&tipo_acceso=B|Empresa de transporte de carga|Empresa de transporte de cargaMinisterio de Transportes y Comunicaciones (MTC)|2019-09-14 12:28:09.859501
Ministerio de Transportes y Comunicaciones (MTC)|144|144|S|B|0|tra%20mtc|3|https://www.tramites.gob.pe/buscador/psce_reg_accion.aspx?id_entidad=144&id_registro=144&tipo_registro=S&tipo_acceso=B|Empresa de transporte de pasajeros|Empresa de transporte de pasajerosMinisterio de Transportes y Comunicaciones (MTC)|2019-09-14 12:28:09.860498
Ministerio de Transportes y Comunicaciones (MTC)|144|146|S|B|0|tra%20mtc|4|https://www.tramites.gob.pe/buscador/psce_reg_accion.aspx?id_entidad=144&id_registro=146&tipo_registro=S&tipo_acceso=B|Situacion de mi tramite|Situacion de mi tramiteMinisterio de Transportes y Comunicaciones (MTC)|2019-09-14 12:28:09.861498
Ministerio de Transportes y Comunicaciones (MTC)|13306|42746|T|B|0|tra%20mtc|7|https://www.tramites.gob.pe/buscador/psce_reg_accion.aspx?id_entidad=13306&id_registro=42746&tipo_registro=T&tipo_acceso=B|AUTORIZACIÓN PARA LA INSTALACIÓN DE INFRAESTRUCTURA NECESARIA PARA LA PRESTACIÓN DE SERVICIOS PÚBLICOS DE TELECOMUNICACIONES(CABINAS TELEFONICAS, TORRES RETRANSMISORAS)LEY 29022D.S. N° 039 2007 MTC|AUTORIZACIÓN PARA LA INSTALACIÓN DE INFRAESTRUCTURA NECESARIA PARA LA PRESTACIÓN DE SERVICIOS PÚBLICOS DE TELECOMUNICACIONES(CABINAS TELEFONICAS, TORRES RETRANSMISORAS)LEY 29022D.S. N° 039 2007 MTCMunicipalidad Provincial Sánchez Carrión - Huamachuco (MPSCH)|2019-09-14 12:28:09.865456
Ministerio de Transportes y Comunicaciones (MTC)|13306|42747|T|B|0|tra%20mtc|8|https://www.tramites.gob.pe/buscador/psce_reg_accion.aspx?id_entidad=13306&id_registro=42747&tipo_registro=T&tipo_acceso=B|CONFORMIDAD Y FINALIZACION DE LA EJECUCION DE LA INSTALACION DE INFRAESTRUCTURA NECESARIA PARA LA PRESTACION DE SERVICIOS PUBLICOS DE(CABINAS TELEFONICAS, TORRES RETRANSMISORAS)LEY 29022LEY 27972, 29060D.S. N° 039-2007-MTC|CONFORMIDAD Y FINALIZACION DE LA EJECUCION DE LA INSTALACION DE INFRAESTRUCTURA NECESARIA PARA LA PRESTACION DE SERVICIOS PUBLICOS DE(CABINAS TELEFONICAS, TORRES RETRANSMISORAS)LEY 29022LEY 27972, 29060D.S. N° 039-2007-MTCMunicipalidad Provincial Sánchez Carrión - Huamachuco (MPSCH)|2019-09-14 12:28:09.867486
Ministerio de Transportes y Comunicaciones (MTC)|13306|42751|T|B|0|tra%20mtc|9|https://www.tramites.gob.pe/buscador/psce_reg_accion.aspx?id_entidad=13306&id_registro=42751&tipo_registro=T&tipo_acceso=B|DECLARACION DE PROPIEDAD POR REGULARIZACION DEL TRACTO SUSECIVO (POSECIONES INFORMALES, CENTROS POPULARES FORMALIZADOS)* LOM N° 27972* LEY 28687 LEY DE DESARROLLO Y COMPLEMENTARIA DE FORMALIZACIÓN DE LA PROPIEDAD INFORMAL, ACCESO AL SUELO Y DOTACIÓN DE SERVICIOS BÁSICOS DEL 17/03/06.* D.S. N° 006-2006-VIV: REGLAMENTO DE TÍTULO I DE LA LEY N° 28687 DEL 17/03/06.* DS. 013-99-MTC: REGLAMENTO DE 06/05/99|DECLARACION DE PROPIEDAD POR REGULARIZACION DEL TRACTO SUSECIVO (POSECIONES INFORMALES, CENTROS POPULARES FORMALIZADOS)* LOM N° 27972* LEY 28687 LEY DE DESARROLLO Y COMPLEMENTARIA DE FORMALIZACIÓN DE LA PROPIEDAD INFORMAL, ACCESO AL SUELO Y DOTACIÓN DE SERVICIOS BÁSICOS DEL 17/03/06.* D.S. N° 006-2006-VIV: REGLAMENTO DE TÍTULO I DE LA LEY N° 28687 DEL 17/03/06.* DS. 013-99-MTC: REGLAMENTO DE 06/05/99Municipalidad Provincial Sánchez Carrión - Huamachuco (MPSCH)|2019-09-14 12:28:09.869478
Ministerio de Transportes y Comunicaciones (MTC)|13306|42765|T|B|0|tra%20mtc|10|https://www.tramites.gob.pe/buscador/psce_reg_accion.aspx?id_entidad=13306&id_registro=42765&tipo_registro=T&tipo_acceso=B|EXPEDICION DE AUTORIZACION DE CIRCULACION PROVISIONAL PARA TRANSPORTE DE PERSONAL Y ESCOLARES, DE COMBIS Y MICROBUS DE PASAJEROS. D.S. N° 016-2009-MTC|EXPEDICION DE AUTORIZACION DE CIRCULACION PROVISIONAL PARA TRANSPORTE DE PERSONAL Y ESCOLARES, DE COMBIS Y MICROBUS DE PASAJEROS. D.S. N° 016-2009-MTCMunicipalidad Provincial Sánchez Carrión - Huamachuco (MPSCH)|2019-09-14 12:28:09.870480
Ministerio de Transportes y Comunicaciones (MTC)|13306|42766|T|B|0|tra%20mtc|11|https://www.tramites.gob.pe/buscador/psce_reg_accion.aspx?id_entidad=13306&id_registro=42766&tipo_registro=T&tipo_acceso=B|EXPEDICION DE AUTORIZACION DE CIRCULACION PROVISIONAL PARA TRANSPORTE DE VEHICULOS MENORES MOTORIZADOS: MOTOTAXI D.S. 016-2009-MTC (ORDENANZA MUNICIPAL N° 145-MPSC)|EXPEDICION DE AUTORIZACION DE CIRCULACION PROVISIONAL PARA TRANSPORTE DE VEHICULOS MENORES MOTORIZADOS: MOTOTAXI D.S. 016-2009-MTC (ORDENANZA MUNICIPAL N° 145-MPSC)Municipalidad Provincial Sánchez Carrión - Huamachuco (MPSCH)|2019-09-14 12:28:09.872481
Ministerio de Transportes y Comunicaciones (MTC)|13306|42764|T|B|0|tra%20mtc|12|https://www.tramites.gob.pe/buscador/psce_reg_accion.aspx?id_entidad=13306&id_registro=42764&tipo_registro=T&tipo_acceso=B|EXPEDICION DE AUTORIZACION DE CIRCULACION PROVISIONAL PARA TRANSPORTE URBANO - COLECTIVO/ TAXI /COMBIS Y MICROS DE PASAJEROS D-S 016-2009-MTC|EXPEDICION DE AUTORIZACION DE CIRCULACION PROVISIONAL PARA TRANSPORTE URBANO - COLECTIVO/ TAXI /COMBIS Y MICROS DE PASAJEROS D-S 016-2009-MTCMunicipalidad Provincial Sánchez Carrión - Huamachuco (MPSCH)|2019-09-14 12:28:09.874433
Ministerio de Transportes y Comunicaciones (MTC)|13306|42763|T|B|0|tra%20mtc|13|https://www.tramites.gob.pe/buscador/psce_reg_accion.aspx?id_entidad=13306&id_registro=42763&tipo_registro=T&tipo_acceso=B|EXPEDICION DE AUTORIZACION PROVISIONAL DE RUTA PARA TRANSPORTE INTERURBANO DE PASAJEROS D-S 016-2009-MTC|EXPEDICION DE AUTORIZACION PROVISIONAL DE RUTA PARA TRANSPORTE INTERURBANO DE PASAJEROS D-S 016-2009-MTCMunicipalidad Provincial Sánchez Carrión - Huamachuco (MPSCH)|2019-09-14 12:28:09.875459
